,0
GCF_000007545:GEGEGB_00001,1
GCF_000007545:GEGEGB_00002,2
GCF_000007545:GEGEGB_00003,3
GCF_000007545:GEGEGB_00004,4
GCF_000007545:GEGEGB_00005,5
GCF_000007545:GEGEGB_00006,6
GCF_000007545:GEGEGB_00007,7
GCF_000007545:GEGEGB_00008,8
GCF_000007545:GEGEGB_00009,9
GCF_000007545:GEGEGB_00010,10
GCF_000007545:GEGEGB_00011,11
GCF_000007545:GEGEGB_00012,12
GCF_000007545:GEGEGB_00014,13
GCF_000007545:GEGEGB_00015,14
GCF_000007545:GEGEGB_00016,15
GCF_000007545:GEGEGB_00017,16
GCF_000007545:GEGEGB_00018,17
GCF_000007545:GEGEGB_00019,18
GCF_000007545:GEGEGB_00020,19
GCF_000007545:GEGEGB_00021,20
GCF_000007545:GEGEGB_00022,21
GCF_000007545:GEGEGB_00023,22
GCF_000007545:GEGEGB_00024,23
GCF_000007545:GEGEGB_00025,24
GCF_000007545:GEGEGB_00026,25
GCF_000007545:GEGEGB_00027,26
GCF_000007545:GEGEGB_00028,27
GCF_000007545:GEGEGB_00029,28
GCF_000007545:GEGEGB_00030,29
GCF_000007545:GEGEGB_00031,30
GCF_000007545:GEGEGB_00032,31
GCF_000007545:GEGEGB_00033,32
GCF_000007545:GEGEGB_00034,33
GCF_000007545:GEGEGB_00035,34
GCF_000007545:GEGEGB_00036,35
GCF_000007545:GEGEGB_00037,36
GCF_000007545:GEGEGB_00038,37
GCF_000007545:GEGEGB_00039,38
GCF_000007545:GEGEGB_00040,39
GCF_000007545:GEGEGB_00041,40
GCF_000007545:GEGEGB_00042,41
GCF_000007545:GEGEGB_00043,42
GCF_000007545:GEGEGB_00044,43
GCF_000007545:GEGEGB_00045,44
GCF_000007545:GEGEGB_00046,45
GCF_000007545:GEGEGB_00047,46
GCF_000007545:GEGEGB_00048,47
GCF_000007545:GEGEGB_00049,48
GCF_000007545:GEGEGB_00050,49
GCF_000007545:GEGEGB_00051,50
GCF_000007545:GEGEGB_00052,51
GCF_000007545:GEGEGB_00053,52
GCF_000007545:GEGEGB_00055,53
GCF_000007545:GEGEGB_00056,54
GCF_000007545:GEGEGB_00057,55
GCF_000007545:GEGEGB_00058,56
GCF_000007545:GEGEGB_00059,57
GCF_000007545:GEGEGB_00060,58
GCF_000007545:GEGEGB_00061,59
GCF_000007545:GEGEGB_00062,60
GCF_000007545:GEGEGB_00063,61
