#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	30249	31448	-	tet(A)	1-1200/1200	===============	0/0	100.00	100.00	ncbi	NG_048154.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	43192	44052	-	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	broad-spectrum class A beta-lactamase TEM-1	BETA-LACTAM
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	46197	46588	-	bleO	14-405/405	===============	0/0	96.79	100.00	ncbi	NG_047557.1	bleomycin binding protein	BLEOMYCIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	53332	54123	+	sul3	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_048120.1	sulfonamide-resistant dihydropteroate synthase Sul3	SULFONAMIDE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	55805	56596	-	aadA1	1-792/792	===============	0/0	100.00	99.87	ncbi	NG_047325.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	STREPTOMYCIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	56689	57948	-	cmlA1	1-1260/1260	===============	0/0	100.00	99.92	ncbi	NG_047648.1	chloramphenicol efflux MFS transporter CmlA1	CHLORAMPHENICOL
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	58210	59001	-	aadA2	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_051846.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	STREPTOMYCIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	59763	60605	-	estX-3	1-843/843	===============	0/0	100.00	99.29	ncbi	NG_245845.1	macrolide esterase EstX-3	TYLOSIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	71949	72689	-	aph(6)-Id	1-741/837	==============.	0/0	88.53	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	72689	73491	-	aph(3'')-Ib	2-804/804	===============	0/0	99.88	100.00	ncbi	NG_047413.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	76091	76906	+	sul2	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	82199	82840	+	catA2	1-642/642	===============	0/0	100.00	100.00	ncbi	NG_047596.1	type A-2 chloramphenicol O-acetyltransferase CatII	CHLORAMPHENICOL
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020885.1_ASM2088v1_genomic.fna	NC_011149.1	4707419	4707841	+	fosA7.2	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_067228.1	fosfomycin resistance glutathione transferase FosA7.2	FOSFOMYCIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171515.1_ASM17151v1_genomic.fna	NZ_ABFG01000001.1	95042	95844	+	aph(3'')-Ib	2-804/804	===============	0/0	99.88	100.00	ncbi	NG_047413.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171515.1_ASM17151v1_genomic.fna	NZ_ABFG01000001.1	95844	96680	+	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171515.1_ASM17151v1_genomic.fna	NZ_ABFG01000001.1	102373	103572	-	tet(A)	1-1200/1200	===============	0/0	100.00	100.00	ncbi	NG_048154.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171535.2_ASM17153v2_genomic.fna	NZ_ABFH02000001.1	1094530	1095390	-	aac(3)-IId	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_047251.1	aminoglycoside N-acetyltransferase AAC(3)-IId	GENTAMICIN
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171535.2_ASM17153v2_genomic.fna	NZ_ABFH02000001.1	1097094	1097939	+	rmtC	1-846/846	===============	0/0	100.00	100.00	ncbi	NG_048060.1	RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase	AMINOGLYCOSIDE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171535.2_ASM17153v2_genomic.fna	NZ_ABFH02000001.1	1100953	1101792	-	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171535.2_ASM17153v2_genomic.fna	NZ_ABFH02000001.1	1102837	1103310	-	dfrA1	1-474/474	===============	0/0	100.00	100.00	ncbi	NG_047676.1	trimethoprim-resistant dihydrofolate reductase DfrA1	TRIMETHOPRIM
