Gene,GCF_000007545,GCF_000020745,GCF_000020885,GCF_000020925,GCF_000022165,GCF_000170215,GCF_000171415,GCF_000171515,GCF_000171535
AJBGEP_00003,peppan_g_2,peppan_g_4507,peppan_g_9045,peppan_g_13552,peppan_g_18177,peppan_g_23272,peppan_g_30241,peppan_g_33852,peppan_g_38433
AJBGEP_00012,peppan_g_11,peppan_g_4516,peppan_g_9054,peppan_g_13561,peppan_g_18186,peppan_g_23281,peppan_g_30232,peppan_g_33843,peppan_g_38424
AJBGEP_00019,peppan_g_18,peppan_g_4523,peppan_g_9061,peppan_g_13568,peppan_g_18193,peppan_g_23288,peppan_g_30225,peppan_g_33836,peppan_g_38417
AJBGEP_00024,peppan_g_23,peppan_g_4528,peppan_g_9066,peppan_g_13573,peppan_g_18198,peppan_g_23293,peppan_g_30220,peppan_g_33831,peppan_g_38412
AJBGEP_00046,peppan_g_45,peppan_g_4550,peppan_g_9088,peppan_g_13595,peppan_g_18220,peppan_g_23315,peppan_g_30198,peppan_g_33809,peppan_g_38391
AJBGEP_00050,peppan_g_49,peppan_g_4554,peppan_g_9092,peppan_g_13599,peppan_g_18224,peppan_g_23319,peppan_g_30194,peppan_g_33805,peppan_g_38387
AJBGEP_00062,peppan_g_60,peppan_g_4565,peppan_g_9103,peppan_g_13610,peppan_g_18235,peppan_g_23330,peppan_g_30183,peppan_g_33794,peppan_g_38376
AJBGEP_00081,peppan_g_77,peppan_g_4582,peppan_g_9120,peppan_g_13627,peppan_g_18253,peppan_g_23347,peppan_g_30166,peppan_g_33777,peppan_g_38359
AJBGEP_00084,peppan_g_79,peppan_g_4584,peppan_g_9122,peppan_g_13629,peppan_g_18255,peppan_g_23349,peppan_g_30164,peppan_g_33775,peppan_g_38357
AJBGEP_00097,peppan_g_91,peppan_g_4596,peppan_g_9134,peppan_g_13638,peppan_g_18267,peppan_g_23361,peppan_g_30152,peppan_g_33763,peppan_g_38345
AJBGEP_00102,peppan_g_96,peppan_g_4601,peppan_g_9139,peppan_g_13643,peppan_g_18272,peppan_g_23366,peppan_g_30147,peppan_g_33758,peppan_g_38340
AJBGEP_00107,peppan_g_104,peppan_g_4606,peppan_g_9147,peppan_g_13648,peppan_g_18277,peppan_g_23371,peppan_g_30142,peppan_g_33753,peppan_g_38335
AJBGEP_00115,peppan_g_111,peppan_g_4613,peppan_g_9154,peppan_g_13655,peppan_g_18284,peppan_g_23378,peppan_g_30135,peppan_g_33746,peppan_g_38328
AJBGEP_00117,peppan_g_113,peppan_g_4615,peppan_g_9156,peppan_g_13658,peppan_g_18286,peppan_g_23380,peppan_g_30132,peppan_g_33744,peppan_g_38325
AJBGEP_00118,peppan_g_114,peppan_g_4616,peppan_g_9157,peppan_g_13659,peppan_g_18287,peppan_g_23381,peppan_g_30131,peppan_g_33743,peppan_g_38324
AJBGEP_00122,peppan_g_117,peppan_g_4619,peppan_g_9160,peppan_g_13662,peppan_g_18290,peppan_g_23384,peppan_g_30128,peppan_g_33740,peppan_g_38321
AJBGEP_00132,peppan_g_127,peppan_g_4629,peppan_g_9170,peppan_g_13672,peppan_g_18300,peppan_g_23394,peppan_g_30118,peppan_g_33730,peppan_g_38311
AJBGEP_00138,peppan_g_133,peppan_g_4635,peppan_g_9176,peppan_g_13678,peppan_g_18306,peppan_g_23400,peppan_g_30112,peppan_g_33724,peppan_g_38305
AJBGEP_00141,peppan_g_135,peppan_g_4637,peppan_g_9178,peppan_g_13680,peppan_g_18308,peppan_g_23402,peppan_g_30110,peppan_g_32611,peppan_g_38303
AJBGEP_00142,peppan_g_136,peppan_g_4638,peppan_g_9179,peppan_g_13681,peppan_g_18309,peppan_g_23403,peppan_g_30109,peppan_g_32610,peppan_g_38302
AJBGEP_00150,peppan_g_145,peppan_g_4645,peppan_g_9188,peppan_g_13690,peppan_g_18316,peppan_g_23410,peppan_g_30102,peppan_g_32603,peppan_g_38293
AJBGEP_00161,peppan_g_155,peppan_g_4655,peppan_g_9198,peppan_g_13700,peppan_g_18326,peppan_g_23420,peppan_g_30092,peppan_g_32593,peppan_g_38283
