# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	tRNA	240	315	+	BENMGJ_00001	85.1	-	-	-	-	-
contig_4	cds	265	1023	-	BENMGJ_00002	297.0	4.5e-101	1.0	1.292	0.690	UniRef:UniRef50_A0A377LVB2
contig_5	cds	58	300	+	BENMGJ_00003	-	-	-	-	-	-
contig_5	cds	306	1169	-	BENMGJ_00004	496.0	1.1e-177	1.0	0.953	0.895	UniRef:UniRef50_P43716
contig_6	cds	899	1534	-	BENMGJ_00005	-	-	-	-	-	-
contig_7	cds	159	635	+	BENMGJ_00006	180.0	4.2e-57	0.981	0.994	0.568	UniRef:UniRef50_Q493L0
contig_7	cds	632	1099	-	BENMGJ_00007	325.0	1.0e-116	1.0	1.0	0.994	BlastRules:WP_000495848
contig_7	cds	1479	1790	+	BENMGJ_00008	162.0	2.3e-51	0.961	0.811	0.818	UniRef:UniRef50_Q2LQA2
contig_8	cds	190	1218	+	BENMGJ_00009	-	-	-	-	-	-
contig_8	cds	1084	1617	-	BENMGJ_00010	270.0	5.6e-92	1.0	0.957	0.825	UniRef:UniRef50_Q7NA91
contig_8	cds	1632	2015	-	BENMGJ_00011	-	-	-	-	-	-
contig_9	cds	153	536	+	BENMGJ_00012	201.0	7.7e-66	1.0	0.809	0.866	UniRef:UniRef50_P0AG96
contig_9	cds	538	1083	+	BENMGJ_00013	292.0	3.9e-101	0.823	1.0	0.966	UniRef:UniRef50_A0A4Q3YN90
contig_9	cds	1241	1669	+	BENMGJ_00014	191.0	1.8e-61	1.0	0.845	0.683	UniRef:UniRef50_P10055
contig_9	cds	1673	2377	+	BENMGJ_00015	427.0	4.6e-152	1.051	1.0	0.951	UniRef:UniRef50_P0A7L0
contig_10	cds	218	1246	+	BENMGJ_00016	448.0	2.4e-156	0.991	0.887	0.619	UniRef:UniRef50_Q6DAP0
contig_10	cds	1243	2205	+	BENMGJ_00017	559.0	6.9e-201	0.997	0.889	0.871	UniRef:UniRef50_P06709
contig_10	cds	2240	3166	-	BENMGJ_00018	433.0	3.5e-151	0.997	0.810	0.668	UniRef:UniRef50_P54556
contig_10	tRNA	3592	3667	+	BENMGJ_00019	81.3	-	-	-	-	-
contig_11	cds	183	4211	-	BENMGJ_00020	1889.0	0.0	1.113	0.999	0.662	UniRef:UniRef50_P0A8V2
contig_12	cds	180	914	-	BENMGJ_00021	291.0	7.1e-98	0.971	0.859	0.671	UniRef:UniRef50_P0AEK2
contig_12	cds	927	1856	-	BENMGJ_00022	593.0	2.2e-217	1.0	1.0	1.0	BlastRules:WP_000191343
contig_12	cds	1872	2825	-	BENMGJ_00023	591.0	2.4e-216	1.0	1.0	0.950	BlastRules:WP_000288132
contig_12	cds	2905	3954	-	BENMGJ_00024	589.0	3.9e-212	0.943	0.896	0.930	UniRef:UniRef50_A4W9A4
contig_12	cds	4118	4291	-	BENMGJ_00025	64.7	3.6e-14	0.982	0.848	0.554	UniRef:UniRef50_C7RBG1
contig_12	cds	4343	4864	-	BENMGJ_00026	216.0	6.5e-71	0.977	0.977	0.633	UniRef:UniRef50_A0A1H7VBN6
contig_13	cds	62	592	+	BENMGJ_00027	290.0	7.4e-100	1.0	0.983	0.841	UniRef:UniRef50_A0A377D0T6
contig_13	cds	592	1248	+	BENMGJ_00028	202.0	8.5e-64	0.940	0.858	0.561	UniRef:UniRef50_A0A836S8T1
contig_13	cds	1291	2037	+	BENMGJ_00029	365.0	3.0e-128	0.988	1.263	0.784	UniRef:UniRef50_A0A379UYJ0
contig_13	cds	2073	2246	+	BENMGJ_00030	-	-	-	-	-	-
contig_13	cds	2243	2722	+	BENMGJ_00031	229.0	1.7e-76	0.881	0.933	0.821	UniRef:UniRef50_A0A2X3JV19
contig_13	cds	2719	4650	+	BENMGJ_00032	1063.0	0.0	0.862	0.931	0.980	UniRef:UniRef50_G5Q502
contig_13	cds	4647	5204	+	BENMGJ_00033	230.0	8.9e-76	0.978	0.948	0.597	UniRef:UniRef50_A0A318G2B8
contig_14	cds	757	1083	+	BENMGJ_00034	211.0	1.3e-70	1.093	0.959	0.898	UniRef:UniRef50_Q8ZNR8
contig_14	cds	1279	2733	+	BENMGJ_00035	573.0	1.4e-201	0.986	0.939	0.629	UniRef:UniRef50_N9WHX3
contig_14	cds	3254	3427	-	BENMGJ_00036	-	-	-	-	-	-
contig_14	cds	3637	5367	-	BENMGJ_00037	1116.0	0.0	1.007	1.0	0.984	UniRef:UniRef50_A0A0R9PUQ5
contig_14	cds	5424	7592	-	BENMGJ_00038	468.0	9.6e-153	1.0	0.895	0.533	UniRef:UniRef50_A0A0T9QR00
contig_14	cds	7802	7957	-	BENMGJ_00039	-	-	-	-	-	-
contig_14	cds	8104	8631	-	BENMGJ_00040	184.0	8.3e-58	0.891	0.848	0.628	UniRef:UniRef50_R8X1U1
contig_14	ncRNA	8693	8821	-	BENMGJ_00041	107.8	1.2e-15	-	-	-	RFAM:RF02957
contig_15	cds	10	789	-	BENMGJ_00042	410.0	2.8e-144	1.0	0.932	0.815	UniRef:UniRef50_P05707
contig_15	cds	801	1163	-	BENMGJ_00043	160.0	4.4e-50	1.0	0.945	0.658	UniRef:UniRef50_A0A0D7LMP5
contig_15	cds	1175	2146	-	BENMGJ_00044	449.0	2.7e-158	1.0	1.025	0.780	UniRef:UniRef50_A0A376L9M1
contig_15	cds	2143	2706	-	BENMGJ_00045	364.0	4.7e-131	1.0	1.0	0.968	BlastRules:WP_000573321
contig_15	cds	2960	4039	+	BENMGJ_00046	617.0	2.1e-222	0.992	0.870	0.840	UniRef:UniRef50_P41052
contig_15	cds	4076	4321	-	BENMGJ_00047	134.0	3.7e-41	0.963	0.830	0.859	UniRef:UniRef50_A0A7L6LEP1
contig_15	cds	4517	5014	+	BENMGJ_00048	200.0	8.2e-65	0.982	1.0	0.648	UniRef:UniRef50_A0AAD2UXF8
contig_15	cds	5099	6160	+	BENMGJ_00049	549.0	1.7e-196	0.935	0.943	0.836	UniRef:UniRef50_A0AA87C387
contig_15	cds	6238	6777	+	BENMGJ_00050	354.0	4.1e-125	1.0	1.0	0.983	UniRef:UniRef50_P33596
contig_15	cds	7013	9643	+	BENMGJ_00051	1365.0	0.0	0.999	0.939	0.793	UniRef:UniRef50_Q8ZBT8
contig_15	cds	9878	10063	+	BENMGJ_00052	108.0	1.2e-33	1.0	1.0	0.951	BlastRules:WP_002209449
contig_16	cds	31	504	+	BENMGJ_00053	202.0	1.2e-65	0.975	0.916	0.647	UniRef:UniRef50_A0A522PNK0
contig_16	cds	525	944	+	BENMGJ_00054	199.0	6.3e-65	0.964	0.876	0.746	UniRef:UniRef50_Q12HQ2
contig_16	cds	1174	1872	+	BENMGJ_00055	434.0	7.6e-155	1.017	1.0	0.979	UniRef:UniRef50_Q8ZKW9
contig_16	ncRNA	1951	2108	-	BENMGJ_00056	126.7	5.5e-17	-	-	-	RFAM:RF02060
contig_16	cds	2192	3562	+	BENMGJ_00057	538.0	3.9e-188	0.978	0.901	0.610	UniRef:UniRef50_A7MMY0
contig_16	cds	3751	5580	+	BENMGJ_00058	1054.0	0.0	0.979	0.951	0.901	UniRef:UniRef50_P59499
contig_16	cds	5731	7521	-	BENMGJ_00059	869.0	2.8e-317	0.982	1.309	0.757	UniRef:UniRef50_A0A6C7I7A3
contig_16	cds	7583	8401	+	BENMGJ_00060	318.0	6.7e-108	1.007	0.958	0.584	UniRef:UniRef50_A0A1B7JTB9
contig_16	cds	8450	9823	+	BENMGJ_00061	491.0	1.4e-170	0.956	0.971	0.661	UniRef:UniRef50_A0A656BGN2
contig_16	cds	9820	9921	-	BENMGJ_00062	-	-	-	-	-	-
contig_16	cds	9990	11030	+	BENMGJ_00063	565.0	3.4e-202	1.0	0.861	0.821	UniRef:UniRef50_P0AG82
contig_17	cds	466	1020	+	BENMGJ_00064	232.0	2.7e-77	1.0	1.227	0.668	UniRef:UniRef50_A0AAX2K897
contig_17	cds	996	1253	-	BENMGJ_00065	128.0	1.8e-38	1.0	0.895	0.682	UniRef:UniRef50_A0A8E1RUV6
contig_17	cds	1250	2071	-	BENMGJ_00066	305.0	1.5e-102	0.982	0.934	0.545	UniRef:UniRef50_A0A0X9VZD4
contig_17	cds	2073	2645	-	BENMGJ_00067	295.0	5.6e-101	0.989	0.855	0.782	UniRef:UniRef50_P45748
contig_17	cds	2650	3192	-	BENMGJ_00068	246.0	7.1e-82	0.983	0.816	0.780	UniRef:UniRef50_P45771
contig_17	cds	3219	3692	-	BENMGJ_00069	291.0	1.1e-100	0.994	0.881	0.917	UniRef:UniRef50_P0A828
contig_17	cds	3664	4788	-	BENMGJ_00070	495.0	2.2e-174	1.0	0.987	0.671	UniRef:UniRef50_A0A6N2WU06
contig_17	cds	4920	5429	+	BENMGJ_00071	229.0	1.8e-75	1.006	0.850	0.694	UniRef:UniRef50_P57948
contig_17	cds	5445	6392	+	BENMGJ_00072	556.0	1.7e-199	1.0	0.838	0.879	UniRef:UniRef50_P23882
contig_17	cds	6444	7733	+	BENMGJ_00073	745.0	3.2e-270	1.0	0.850	0.839	UniRef:UniRef50_P36929
contig_17	cds	7755	9131	+	BENMGJ_00074	552.0	4.1e-193	1.0	0.856	0.616	UniRef:UniRef50_Q8EKR1
contig_17	cds	9273	9686	+	BENMGJ_00075	254.0	1.5e-86	0.985	0.808	0.985	UniRef:UniRef50_P0A742
contig_17	cds	9622	9891	-	BENMGJ_00076	129.0	7.6e-39	1.022	0.843	0.736	UniRef:UniRef50_A8AQI6
contig_17	cds	9949	10374	-	BENMGJ_00077	258.0	4.5e-88	0.943	0.821	0.992	UniRef:UniRef50_P0ACS5
contig_17	cds	10385	10753	-	BENMGJ_00078	180.0	1.0e-57	0.992	0.834	0.678	UniRef:UniRef50_A0A3D0EHT8
contig_17	cds	10861	11244	-	BENMGJ_00079	177.0	8.9e-57	0.929	0.837	0.763	UniRef:UniRef50_P44355
contig_18	cds	845	1066	-	BENMGJ_00080	124.0	2.4e-37	0.932	0.840	0.868	UniRef:UniRef50_A0A0H3GZ72
contig_18	cds	1303	4416	-	BENMGJ_00081	1688.0	0.0	1.112	0.999	0.797	UniRef:UniRef50_P31224
contig_18	cds	4428	5585	-	BENMGJ_00082	648.0	9.1e-234	0.979	0.853	0.889	UniRef:UniRef50_P0AE06
contig_18	cds	5997	6659	+	BENMGJ_00083	295.0	4.0e-100	0.959	0.906	0.682	UniRef:UniRef50_P0ACT2
contig_18	cds	6662	8761	-	BENMGJ_00084	1269.0	0.0	0.957	0.941	0.991	UniRef:UniRef50_A0A0T9XQE0
