#FILE	NUM_FOUND	aac(3)-IId	aadA1	aadA2	aph(3'')-Ib	aph(6)-Id	blaTEM-1	bleO	catA2	cmlA1	dfrA1	estX-3	fosA7.2	rmtC	sul1	sul2	sul3	tet(A)
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	12	.	100.00	100.00	99.88	88.53	100.00	96.79	100.00	100.00	.	100.00	.	.	.	100.00	100.00	100.00
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020885.1_ASM2088v1_genomic.fna	1	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171515.1_ASM17151v1_genomic.fna	3	.	.	.	99.88	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171535.2_ASM17153v2_genomic.fna	4	100.00	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	.	.	.
