#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_6	1	696	+	OEKLIE_00003	26.3	9.0	PF00441.29|Acyl-CoA_dh_1, PF08028.16|Acyl-CoA_dh_2, PF22924.1|ACOX_C_alpha1	PFAM:PF00441.29, PFAM:PF08028.16, PFAM:PF22924.1
contig_7	430	741	-	OEKLIE_00004	11.6	9.5		
contig_8	490	768	-	OEKLIE_00005	10.7	6.1		
contig_9	444	716	+	OEKLIE_00006	10.3	4.9		
contig_10	143	736	-	OEKLIE_00007	22.3	6.8	PF00441.29|Acyl-CoA_dh_1, PF22924.1|ACOX_C_alpha1	PFAM:PF00441.29, PFAM:PF22924.1
contig_12	317	535	+	OEKLIE_00010	8.3	4.8	PF07362.18|CcdA	PFAM:PF07362.18
contig_15	23	496	+	OEKLIE_00013	18.1	7.8	PF00486.34|Trans_reg_C	PFAM:PF00486.34
contig_15	469	894	-	OEKLIE_00014	15.5	6.9	PF00532.27|Peripla_BP_1	PFAM:PF00532.27
contig_19	306	509	+	OEKLIE_00015	7.7	11.8		
contig_20	782	1021	+	OEKLIE_00017	NA	10.7		
contig_21	9	344	+	OEKLIE_00018	12.3	9.2		
contig_21	895	1107	+	OEKLIE_00020	7.5	5.1		
contig_23	82	639	+	OEKLIE_00022	22.0	11.5		
contig_27	261	755	+	OEKLIE_00029	19.1	9.9	PF13356.12|Arm-DNA-bind_3, PF14659.12|Phage_int_SAM_3, PF22022.2|Phage_int_M	PFAM:PF13356.12, PFAM:PF14659.12, PFAM:PF22022.2
contig_33	80	556	+	OEKLIE_00046	17.0	4.9	PF07676.18|PD40	PFAM:PF07676.18
contig_38	196	414	-	OEKLIE_00061	8.3	4.8	PF07362.18|CcdA	PFAM:PF07362.18
contig_38	1123	1611	+	OEKLIE_00062	18.9	9.7		SO:0001217, UniRef:UniRef50_A0A2S8JWE2
contig_39	1917	2090	+	OEKLIE_00067	6.3	11.9		
contig_40	2009	2110	-	OEKLIE_00073	3.7	6.5		
contig_41	19	2007	-	OEKLIE_00076	73.2	5.3	PF01367.25|5_3_exonuc, PF01612.26|DNA_pol_A_exo1, PF02739.22|5_3_exonuc_N, PF22619.2|DNA_polI_exo1	PFAM:PF01367.25, PFAM:PF01612.26, PFAM:PF02739.22, PFAM:PF22619.2
contig_42	151	702	+	OEKLIE_00083	20.1	4.8	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_43	3347	3766	-	OEKLIE_00095	15.5	9.7	PF04383.19|KilA-N	PFAM:PF04383.19
contig_43	5948	6205	-	OEKLIE_00099	9.9	5.1		SO:0001217, UniRef:UniRef50_A0A378BXD3
contig_43	6972	7133	-	OEKLIE_00101	6.0	6.0		
contig_44	3646	3876	+	OEKLIE_00106	8.3	4.7		
contig_44	4385	5002	+	OEKLIE_00108	23.1	5.7		
contig_44	6809	7663	+	OEKLIE_00112	33.0	9.6	PF22022.2|Phage_int_M	PFAM:PF22022.2
contig_44	8174	8488	-	OEKLIE_00114	12.0	6.5		
contig_46	64	342	+	OEKLIE_00123	10.0	5.0		
contig_46	6024	6197	+	OEKLIE_00128	6.6	4.9		
contig_48	18	140	-	OEKLIE_00154	4.6	5.1	PF20582.4|UPF0758_N	PFAM:PF20582.4
contig_49	1129	1230	+	OEKLIE_00168	3.7	5.5		
contig_51	107	292	+	OEKLIE_00195	6.8	4.1		SO:0001217, UniRef:UniRef50_G5R962
contig_51	1654	2229	-	OEKLIE_00198	21.2	6.6		
contig_51	4479	4787	-	OEKLIE_00201	11.1	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_52	405	506	+	OEKLIE_00208	3.9	6.5		
contig_52	2031	3146	+	OEKLIE_00210	41.5	4.8		
contig_52	3832	4167	+	OEKLIE_00212	13.3	10.7		
contig_52	5904	6044	+	OEKLIE_00215	5.0	6.5		
contig_53	361	750	+	OEKLIE_00226	14.5	11.2		
contig_54	2230	2745	+	OEKLIE_00244	19.2	5.8		
contig_56	249	467	+	OEKLIE_00276	8.3	4.8	PF07362.18|CcdA	PFAM:PF07362.18
contig_56	1063	1584	+	OEKLIE_00279	19.4	8.6		
contig_56	3630	4115	+	OEKLIE_00283	16.9	11.6		
contig_56	4392	4679	-	OEKLIE_00284	10.6	11.6		SO:0001217, UniRef:UniRef50_A0A736X0J9
contig_56	10143	10355	+	OEKLIE_00291	7.9	10.9		
contig_56	11235	11399	-	OEKLIE_00293	5.9	9.1	PF00959.24|Phage_lysozyme	PFAM:PF00959.24
