"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"Inner membrane protein",NA,118,"GEGEGB_00715","SO:0001217, UniRef:UniRef50_A0A2X1PWQ4"
"MFS transporter",NA,44,"GEGEGB_00305","SO:0001217, UniRef:UniRef50_A0A0T9WM45"
"Amino acid permease/ SLC12A domain-containing protein",NA,36,"GEGEGB_00165","SO:0001217, UniRef:UniRef50_A0A0G3EUP7"
"Fimbrial-type adhesion domain-containing protein",NA,36,"GEGEGB_00023","SO:0001217, UniRef:UniRef50_A9MR69"
"ABC transporter ATP-binding protein",NA,28,"GEGEGB_00906","SO:0001217, UniRef:UniRef50_A0A0F1BEW3"
"ABC-type dipeptide transporter",NA,18,"GEGEGB_00678","SO:0001217, UniRef:UniRef50_A0A377CBZ7"
"Amino acid permease",NA,18,"GEGEGB_00545","SO:0001217, UniRef:UniRef50_S3BNV8"
"Citrate lyase alpha chain",NA,18,"GEGEGB_00066","SO:0001217, UniRef:UniRef50_P75726"
"Citrate lyase subunit beta",NA,18,"GEGEGB_00065","SO:0001217, UniRef:UniRef50_P17725"
"Citrate synthase",NA,18,"GEGEGB_02256","SO:0001217, UniRef:UniRef50_P0ABH7"
"DNA-binding protein H-NS",NA,18,"GEGEGB_01754","SO:0001217, UniRef:UniRef50_P0DOA5"
"Flagellar basal-body rod protein FlgF","flgF",18,"GEGEGB_01837","SO:0001217, UniRef:UniRef50_A0A2S5THT3"
"GlsB/YeaQ/YmgE family stress response membrane protein",NA,18,"GEGEGB_01143","SO:0001217, UniRef:UniRef50_A0A653L0T6"
"Iron-binding protein IscA","iscA",18,"GEGEGB_00340","SO:0001217, UniRef:UniRef50_B7J5X1"
"Mechanosensitive ion channel family protein",NA,18,"GEGEGB_01200","SO:0001217, UniRef:UniRef50_A7MNC9"
"Nitrate reductase subunit beta",NA,18,"GEGEGB_01569","SO:0001217, UniRef:UniRef50_A0A7C6CEJ9"
