#FILE	NUM_FOUND	AAC(3)-IId	AAC(6')-Iaa	AAC(6')-Iy	APH(3'')-Ib	APH(6)-Id	CRP	Escherichia_coli_acrA	FosA7	H-NS	MdtK	OmpA	TEM-1	TolC	YojI	aadA	aadA2	acrB	acrD	bacA	catII_from_Escherichia_coli_K-12	cmlA1	cpxA	dfrA1	emrA	emrB	emrR	golS	kdpE	marA	mdsA	mdsB	mdsC	mdtB	mdtC	msbA	qacEdelta1	qacL	ramA	rmtC	sdiA	sul1	sul2	sul3	tet(A)
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	20	.	.	100.00	.	.	100.00	100.00	.	100.00	100.00	96.89	.	97.92	.	.	.	99.40	99.97	99.39	.	.	99.49	.	99.91	100.00	100.00	.	99.12	91.15	.	.	.	99.97	99.03	100.00	.	.	.	.	100.00	.	.	.	.
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	37	.	.	100.00	100.00	88.53	100.00	100.00	.	100.00	100.00	96.89	100.00	97.92	99.82	100.00	100.00	99.40	99.97	99.39	100.00	100.00	99.49	.	99.91	100.00	100.00	100.00	99.12	91.15	100.00	100.00	100.00	99.97	99.03	100.00	.	100.00	94.67	.	100.00	.	100.00	100.00	97.80
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020885.1_ASM2088v1_genomic.fna	27	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	97.16	.	97.92	99.70	.	.	99.40	99.97	99.39	.	.	99.49	.	99.91	100.00	100.00	100.00	99.12	91.15	100.00	100.00	100.00	99.97	99.03	100.00	.	.	94.67	.	100.00	.	.	.	.
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020925.1_ASM2092v1_genomic.fna	25	.	.	100.00	.	.	100.00	100.00	.	100.00	100.00	96.89	.	97.92	99.70	.	.	99.40	99.97	99.39	.	.	99.49	.	99.91	100.00	100.00	100.00	99.12	91.15	100.00	100.00	100.00	99.97	99.03	100.00	.	.	.	.	100.00	.	.	.	.
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000022165.1_ASM2216v1_genomic.fna	25	.	100.00	.	.	.	100.00	100.00	.	100.00	100.00	96.89	.	97.92	99.70	.	.	99.40	99.97	99.39	.	.	99.49	.	99.91	100.00	100.00	100.00	99.12	91.15	100.00	100.00	100.00	99.97	99.03	100.00	.	.	.	.	100.00	.	.	.	.
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000170215.1_ASM17021v1_genomic.fna	25	.	.	100.00	.	.	100.00	100.00	.	100.00	100.00	96.89	.	97.92	99.70	.	.	99.40	99.97	99.39	.	.	99.49	.	99.91	100.00	100.00	100.00	99.12	91.15	100.00	100.00	100.00	99.97	99.03	100.00	.	.	.	.	100.00	.	.	.	.
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171415.1_ASM17141v1_genomic.fna	26	.	.	100.00	.	.	100.00	100.00	.	100.00	100.00	96.89	.	97.92	99.70	.	.	99.40	99.97	99.39	.	.	99.49	.	99.91	100.00	100.00	100.00	99.12	100.00	100.00	100.00	100.00	99.97	99.03	100.00	.	.	94.67	.	100.00	.	.	.	.
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171515.1_ASM17151v1_genomic.fna	29	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	92.36	.	97.92	99.70	.	.	99.40	99.97	99.39	.	.	99.49	.	99.91	100.00	100.00	100.00	99.12	91.15	100.00	100.00	99.93	99.97	99.03	100.00	.	.	94.67	.	100.00	.	.	.	97.80
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171535.2_ASM17153v2_genomic.fna	31	100.00	.	100.00	.	.	100.00	100.00	.	100.00	100.00	96.89	.	97.92	99.70	.	.	99.40	99.97	99.39	.	.	99.49	100.00	99.91	100.00	100.00	100.00	99.12	91.15	100.00	100.00	100.00	99.97	99.03	100.00	100.00	.	94.67	100.00	100.00	100.00	.	.	.
