"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"pipB","","SPI-2 type III secretion system effector PipB","9","9","1","32","1931","","","","875","875","875","GEGEGB_01930","LNHIMF_01119","BEJGEH_00992","HFCAGB_01135","AJBGEP_01086","ODDLKH_01490","IKCLMC_00582","PKJKAM_00660","ONMMKP_01049"
"fliE","","Flagellar hook-basal body complex protein FliE","9","9","1","32","7158","","","","314","314","314","GEGEGB_00974","LNHIMF_02038","BEJGEH_01099","HFCAGB_01248","AJBGEP_02065","ODDLKH_02457","IKCLMC_04172","PKJKAM_04183","ONMMKP_00062"
"group_1002","Lipoprotein","Lipoprotein","9","9","1","32","7162","","","","413","425","414","GEGEGB_00978","LNHIMF_02035","BEJGEH_01103","HFCAGB_01252","AJBGEP_02062","ODDLKH_02453","IKCLMC_04176","PKJKAM_04187","ONMMKP_00065"
"Excinuclease ABC subunit C","","Excinuclease ABC subunit C","9","9","1","32","7187","","","","1553","1832","1801","GEGEGB_00995","LNHIMF_02019","BEJGEH_01119","HFCAGB_01268","AJBGEP_02044","ODDLKH_02437","IKCLMC_04192","PKJKAM_04203","ONMMKP_00081"
"Ferritin","","Ferritin","9","9","1","32","7195","","","","497","497","497","GEGEGB_01006","LNHIMF_02007","BEJGEH_01131","HFCAGB_01279","AJBGEP_02032","ODDLKH_02425","IKCLMC_04203","PKJKAM_04215","ONMMKP_00093"
"Trehalose-6-phosphate phosphatase","","Trehalose-6-phosphate phosphatase","9","9","1","32","7201","","","","803","902","891","GEGEGB_01010","LNHIMF_02002","BEJGEH_01136","HFCAGB_01284","AJBGEP_02026","ODDLKH_02420","IKCLMC_04208","PKJKAM_04220","ONMMKP_00098"
"Universal stress protein","","Universal stress protein","9","9","1","32","7203","","","","395","428","424","GEGEGB_01012","LNHIMF_02000","BEJGEH_01138","HFCAGB_01286","AJBGEP_02024","ODDLKH_02418","IKCLMC_04210","PKJKAM_04222","ONMMKP_00100"
"ruvA","","Holliday junction branch migration complex subunit RuvA","9","9","1","32","7236","","","","611","779","629","GEGEGB_01045","LNHIMF_01967","BEJGEH_01170","HFCAGB_01319","AJBGEP_01991","ODDLKH_02385","IKCLMC_04244","PKJKAM_04255","ONMMKP_00134"
"group_1009","hypothetical protein","hypothetical protein","9","9","1","32","7252","","","","290","290","290","GEGEGB_01058","LNHIMF_01954","BEJGEH_01183","HFCAGB_01332","AJBGEP_01978","ODDLKH_02372","IKCLMC_04260","PKJKAM_04268","ONMMKP_00147"
"ycaQ","","Uncharacterized protein YcaQ","9","9","1","32","1834","","","","449","1232","1145","GEGEGB_02051","LNHIMF_01073","BEJGEH_00943","HFCAGB_01030","AJBGEP_00978","ODDLKH_01441","IKCLMC_01546","PKJKAM_00944","ONMMKP_01158"
