#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	1582846	1583283	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	97.26	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	30277	31523	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	43192	44052	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	46197	46588	-	bleO_1	8-399/399	===============	0/0	98.25	100.00	resfinder	AF051917	bleO	Bleomycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	53332	54123	+	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	sul3	Sulfamethoxazole
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	55805	56606	-	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	56689	58002	-	CmlA7_1	1-1314/1314	===============	0/0	100.00	99.77	resfinder	JQ639792	CmlA7	Chloramphenicol
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	58210	59011	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Spectinomycin;Streptomycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	71949	72689	-	aph(6)-Id_1	1-741/837	==============.	0/0	88.53	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	72689	73491	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	76091	76906	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011092.1	82199	82840	+	catA2_1	1-642/642	===============	0/0	100.00	96.11	resfinder	X53796	catA2	Chloramphenicol
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020745.1_ASM2074v1_genomic.fna	NC_011094.1	1678078	1678515	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	97.94	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020885.1_ASM2088v1_genomic.fna	NC_011149.1	1504079	1504516	-	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	97.94	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020885.1_ASM2088v1_genomic.fna	NC_011149.1	4707419	4707841	+	fosA7_1	1-423/423	===============	0/0	100.00	97.16	resfinder	LAPJ01000014	fosA7	Fosfomycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000020925.1_ASM2092v1_genomic.fna	NC_011205.1	1660745	1661182	-	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	98.63	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000022165.1_ASM2216v1_genomic.fna	NC_016856.1	1717335	1717772	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	99.77	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000170215.1_ASM17021v1_genomic.fna	NZ_ABAM02000001.1	2167275	2167712	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	99.54	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171415.1_ASM17141v1_genomic.fna	NZ_ABEW01000001.1	387901	388338	-	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	98.63	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171515.1_ASM17151v1_genomic.fna	NZ_ABFG01000001.1	95042	95844	+	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000171515.1_ASM17151v1_genomic.fna	NZ_ABFG01000001.1	95844	96680	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
