#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	447848	450961	-	acrD	1-3114/3114	========/======	2/2	99.97	81.86	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	824272	827319	-	mdtC	7-3054/3078	===============	0/0	99.03	81.46	card	U00096.1:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	827327	830448	-	mdtB	1-3122/3123	===============	0/0	99.97	80.97	card	U00096.1:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	951395	952819	+	MdtK	1-1425/1425	===============	0/0	100.00	98.67	card	CP014358.1:2162750-2161325	A multidrug and toxic compound extrusions (MATE) transporter conferring resistance to norfloxacin doxorubicin and acriflavine.	fluoroquinolone
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	1021875	1022597	+	sdiA	1-723/723	===============	0/0	100.00	98.75	card	AE006468.2:2040377-2039654	SdiA is a cell division regulator that is also a positive regulator of AcrAB only when it's expressed from a plasmid. When the sdiA gene is on the chromosome it has no effect on expression of acrAB.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	1485385	1485734	-	marA	1-350/384	==============.	0/0	91.15	89.14	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;monobactam;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	1582846	1583283	+	AAC(6')-Iy	1-438/438	===============	0/0	100.00	97.72	card	AF144880.1:3541-3979	AAC(6')-Iy is a chromosomal-encoded aminoglycoside acetyltransferase in S. enteritidis and S. enterica. Regulatory mutation required to increase expression of this chromosomally-encoded gene for resistance. In the specific system aminoglycoside resistance was due to a transcriptional fusion secondary to a chromosomal deletion in which the downstream aac(6')-Iy gene was placed under the control of the upstream nmpC promoter.	aminoglycoside
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	1722767	1723180	+	H-NS	1-414/414	===============	0/0	100.00	88.89	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;fluoroquinolone;macrolide;penicillin_beta-lactam;tetracycline
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	1909721	1910810	+	OmpA	18-1125/1125	========/======	4/18	96.89	83.21	card	FO834906.1:2175099-2173974	OmpA is a porin that confers resistance to beta-lactam antibiotics.	peptide
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	1998383	2000131	-	msbA	1-1749/1749	===============	0/0	100.00	84.91	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	2238199	2238871	+	kdpE	1-673/678	========/======	2/2	99.12	81.45	card	U00096.3:721733-721055	kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.	aminoglycoside
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	2454627	2455820	+	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	83.17	card	U00096.3:485619-484425	AcrA is a subunit of the AcrAB-TolC multidrug efflux system found in E. coli.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	2455843	2458974	+	acrB	1-3132/3150	========/======	2/2	99.40	85.38	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	2799873	2800403	+	emrR	1-531/531	===============	0/0	100.00	85.69	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	2800530	2801702	+	emrA	1-1173/1173	========/======	2/2	99.91	82.20	card	AP009048.1:2810082-2811255	EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.	fluoroquinolone
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	2801719	2803257	+	emrB	1-1539/1539	===============	0/0	100.00	84.15	card	U00096.1:2812615-2814154	emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.	fluoroquinolone
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	3191564	3193020	+	TolC	1-1466/1488	========/======	2/9	97.92	81.58	card	FJ768952.1:0-1488	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.	aminocoumarin;aminoglycoside;carbapenem;cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;macrolide;penicillin_beta-lactam;peptide;phenicol;rifamycin;tetracycline
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	3213567	3214384	-	bacA	1-818/822	========/======	2/2	99.39	85.96	card	U00096.3:3204131-3203309	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
/home/bailey/Desktop/binf_capstone/data/raw/genomes/filtered_genomes/GCF_000007545.1_ASM754v1_genomic.fna	NC_004631.1	3661344	3662710	+	cpxA	1-1367/1374	===============	0/0	99.49	85.15	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
