"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"0.0","1283.0",3489,"GEGEGB_00002","1.123"
"hypothetical protein",NA,948,"GEGEGB_00011",""
"-","-",940,"GEGEGB_00011","-"
"Cytoplasmic protein",NA,172,"GEGEGB_00419","SO:0001217, UniRef:UniRef50_S5MYK0"
"Transcriptional regulator",NA,135,"GEGEGB_00018","SO:0001217, UniRef:UniRef50_Q8ZS10"
"Inner membrane protein",NA,118,"GEGEGB_00715","SO:0001217, UniRef:UniRef50_A0A2X1PWQ4"
"Lipoprotein",NA,76,"GEGEGB_00085","SO:0001217, UniRef:UniRef50_A0A0J8YCG2"
"YdgH/BhsA/McbA-like domain-containing protein",NA,71,"GEGEGB_01467","SO:0001217, UniRef:UniRef50_A0A389MD34"
"histidine kinase",NA,71,"GEGEGB_01017","SO:0001217, UniRef:UniRef50_A0A379S194"
"Major facilitator superfamily (MFS) profile domain-containing protein",NA,67,"GEGEGB_00047","SO:0001217, UniRef:UniRef50_A0A6C6YXS9"
"HTH lysR-type domain-containing protein",NA,54,"GEGEGB_00015","SO:0001217, UniRef:UniRef50_A0A0L0AFF1"
"ABC transmembrane type-1 domain-containing protein",NA,45,"GEGEGB_00551","SO:0001217, UniRef:UniRef50_A7MH46"
"Metallo-beta-lactamase domain-containing protein",NA,45,"GEGEGB_01910","SO:0001217, UniRef:UniRef50_A9MH55"
"HTH gntR-type domain-containing protein",NA,44,"GEGEGB_01504","SO:0001217, UniRef:UniRef50_A7MLC1"
"MFS transporter",NA,44,"GEGEGB_00305","SO:0001217, UniRef:UniRef50_A0A0T9WM45"
"Amino acid permease/ SLC12A domain-containing protein",NA,36,"GEGEGB_00165","SO:0001217, UniRef:UniRef50_A0A0G3EUP7"
"Arabinose operon regulatory protein",NA,36,"GEGEGB_00113","SO:0001217, UniRef:UniRef50_A0A090V0Z5"
"Fimbrial-type adhesion domain-containing protein",NA,36,"GEGEGB_00023","SO:0001217, UniRef:UniRef50_A9MR69"
"LysR family transcriptional regulator","lysR",36,"GEGEGB_00304","SO:0001217, UniRef:UniRef50_Q8ZN21"
"HTH araC/xylS-type domain-containing protein",NA,35,"GEGEGB_01663","SO:0001217, UniRef:UniRef50_A9MQ68"
